Field Number(s),Common Name,Observation Date,Observation Year,How Observed,Observation Status,Final SIM Status,In MMHSRP Stranding DB,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Date of Examination,Condition at Examination,Vessel Type,Sex,Age Class,Length,Length Units,Necropsied,Date of Necropsy,Carcass Disposition,Additional Remarks,
9503025,Humpback Whale,3/5/1995,1995,NO DATA,NO DATA,DEAD,No,CA,15-Los Angeles,NO DATA,VENICE CITY BEACH,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,UNKNOWN,ADULT,1500,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; PROPELLER-LIKE WOUNDS ON TORSO,
9503037,Gray Whale,3/7/1995,1995,NO DATA,NO DATA,POSSIBLE INJURY,No,CA,17-San Diego,NO DATA,2.5 MILES SOUTHWEST OF POINT LOMA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Recreational,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,RUNABOUT COLLIDED WITH ANIMAL OF UNKNOWN SIZE; ANIMAL HIT IN TAIL STOCK AREA; NO BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN,
9504031,Gray Whale,4/4/1995,1995,NO DATA,NO DATA,DEAD,No,CA,06-Contra Costa,NO DATA,BASE OF RICHMOND-SAN RAFAEL BRIDGE,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,MALE,ADULT,1219.2,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; 3 METER PROPELLER-LIKE WOUND ALONG DORSAL REGION,
CRC-431,Gray Whale,9/11/1995,1995,NO DATA,Fresh Dead,NO DATA,No,WA,,,Copalis Beach,,,,,,,Unknown,Unknown,Unknown,,,,,,"Backbone severed, no fluke present",
9609074,Fin Whale,9/21/1996,1996,NO DATA,NO DATA,DEAD,No,CA,16-Orange,NO DATA,BOLSA CHICA STATE BEACH,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,MALE,SUBADULT,1463.04,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; ANIMAL FIRST DISCOVERED FLOATING IN LONG BEACH HARBOR ON 9/17/96; BROUGHT INTO HARBOR ON BOW OF FREIGHTER; TOWED OUT TO SEA BY LONG BEACH HARBOR PATROL & STRANDED 3 DAYS LATER,
9702028,Fin Whale,2/11/1997,1997,NO DATA,NO DATA,DEAD,No,CA,16-Orange,NO DATA,NEWPORT BEACH,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,UNKNOWN,SUBADULT,762,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; HEAD & TAIL MISSING; ANIMAL FIRST DISCOVERED FLOATING IN LOS ANGELES HARBOR ON 2/11/97; BROUGHT INTO HARBOR ON BOW OF FREIGHTER OR CONTAINER VESSEL; TOWED OUT TO SEA BY LOS ANGELES HARBOR DEPARTMENT & STRANDED 6 DAYS LATER,
9702037,Unidentified Whale,2/15/1997,1997,NO DATA,NO DATA,SERIOUS INJURY,No,CA,15-Los Angeles,NO DATA,11 MILES OFFSHORE SANTA CATALINA ISLAND,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Recreational,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,MOTORIZED RUBBER INFLATABLE UPENDED BY UNIDENTIFIED WHALE; BLOOD IN WATER; ANIMAL ASSUMED INJURED; FINAL STATUS UNKNOWN,
BLANK,Unidentified Whale,3/1/1997,1997,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA,OFFSHORE SAN DIEGO,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,DESTROYER DURING REFUELING EVENT NOTICED SHUDDER TO SHIP.  OBSERVED BLOOD IN WATER.  NO INDIVIDUAL ANIMAL SEEN; FINAL STATUS UNKNOWN,
CRC-434,Gray Whale,4/14/1997,1997,NO DATA,Fresh Dead,NO DATA,No,WA,,,Grayland,,,,,,,Unknown,Male,Unknown,,,,,,"Large slice on posterior part of the animal, about 2 ft. deep, also old rake marks",
9801021,Gray Whale,1/2/1998,1998,NO DATA,NO DATA,SERIOUS INJURY,No,CA,15-Los Angeles,NO DATA,SAN PEDRO,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,USCG,UNKNOWN,UNKNOWN,1219.2,cm,NO DATA,NO DATA,NO DATA,"COAST GUARD VESSEL COLLIDED WITH ANIMAL, LEAVING 6 ONE FOOT GASHES IN THE ANIMAL'S SIDE; ANIMAL SURFACED SEVERAL TIMES BEFORE SWIMMING AWAY; NO BLOOD OBSERVED IN WATER; FINAL STATUS OF ANIMAL UNKNOWN",
9801100,Gray Whale,1/7/1998,1998,NO DATA,NO DATA,DEAD,No,CA,01-Del Norte,NO DATA,ELK CREEK,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,CALF,447,cm,NO DATA,NO DATA,NO DATA,"DEAD STRANDING; NEWBORN CALF; UMBILICUS PRESENT; ANIMAL FIRST SIGHTED ALIVE AT 1530 ON 1/5/98 SWIMMING IN CRESCENT CITY HARBOR, BLEEDING PROFUSELY FROM A PROPELLER-LIKE VERTICAL SLASH IN CAUDAL PEDUNCLE;  CAUDAL PEDUNCLE NEARLY SEVERED; ANIMAL DISAPPEARED",
CRC-435,Gray Whale,3/17/1998,1998,NO DATA,Fresh Dead,NO DATA,No,WA,,,Grays Harbor,,,,,,,Unknown,Female,Unknown,,,,,,"Prop cuts from pectoral fins to dorsal hump, depth of cuts would be fatal",
9804344,Gray Whale,4/24/1998,1998,NO DATA,NO DATA,DEAD,No,CA,17-San Diego,NO DATA,OFFSHORE POINT LOMA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,914.4,cm,NO DATA,NO DATA,NO DATA,NAVY VESSEL SIGHTED WHALES OFF BEAM   AT 1 NAUTICAL MILE AT 0600; WHALE  DISCOVERED WRAPPED AROUND BOW AT 0735; THERE WERE NO SIGHTINGS OF WHALES IN THE VICINITY OF THE VESSEL & NO INDICATION THAT THE VESSEL HAD HIT A WHALE; CARCASS DISLODGED FROM BOW & S,
9804345,Gray Whale,4/24/1998,1998,NO DATA,NO DATA,DEAD,No,CA,17-San Diego,NO DATA,OFFSHORE POINT LOMA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,609.6,cm,NO DATA,NO DATA,NO DATA,"NAVY VESSEL SIGHTED A WHALE SPOUTING OFF PORT BEAM AT 2000 YARDS AT 1200; 10 MINUTES LATER SHIP FELT SHUDDER, SLOWED TO 5 KNOTS, &  DISCOVERED WHALE WRAPPED AROUND BOW; CARCASS DISLODGED FROM BOW & SANK",
9804459,Gray Whale,4/30/1998,1998,NO DATA,NO DATA,DEAD,No,CA,04-Marin,NO DATA,STINSON BEACH,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,ADULT,1240,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; MASSIVE HEMORRHAGE IN THORACIC CAVITY; SUBCUTANEOUS HEMORRHAGE JUST CAUDAL TO BLOWHOLE EXTENDING TO LEFT PECTORAL FIN,
9901075,Gray Whale,1/23/1999,1999,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA,OFFSHORE NORTH CORONADO ISLAND; 4 MILES FROM WEST END,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Recreational,UNKNOWN,UNKNOWN,762,cm,NO DATA,NO DATA,NO DATA,"WHALE SURFACED WITHIN THREE FEET OF OCEAN RACING YACHT'S STARBOARD SIDE; FOLLOWING IMPACT, WHALE ROLLED UNDER BOW & STRUCK KEEL, RENEDERING VESSEL DEAD IN WATER; WHALE THEN ROLLED UNDER VESSEL & SURFACED ON PORT SIDE; NO BLOOD OBSERVED; ANIMAL APPEARED ST; FINAL STATUS UNKNOWN",
9905021,Unidentified Whale,5/5/1999,1999,NO DATA,NO DATA,SERIOUS INJURY,No,CA,10-Santa Cruz,NO DATA,3 NAUTICAL MILES OFFSHORE,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,USCG,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,COAST GUARD VESSEL COLLIDED WITH FREE-SWIMMING WHALE; WHALE BREACHED 2-3 TIMES AFTER COLLISION & DISAPPEARED; NO BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN,
9912031,Gray Whale,12/19/1999,1999,NO DATA,NO DATA,DEAD,No,CA,04-Marin,NO DATA,"MUIR BEACH, GOLDEN GATE NATIONAL RECREATION AREA",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,MALE,ADULT,1222,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; CARCASS FIRST OBSERVED ON 12/18/99 FLOATING UNDER GOLDEN GATE BRIDGE; 60 CENTIMETER X 50 CENTIMETER X 50 CENTIMETER HEMORRHAGE CAUDAL TO TEMPORAL MANDIBULAR JOINT AT ANGLE OF JAW ,
200005210,Humpback Whale,5/28/2000,2000,NO DATA,NO DATA,DEAD,No,CA,09-San Mateo,NO DATA,"FIDDLER'S COVE, SOUTH OF PESCADERO STATE BEACH",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,ADULT,1196,cm,NO DATA,NO DATA,NO DATA,"DEAD STRANDING; ROBUST ANIMAL WITH GOOD BLUBBER THICKNESS; FRACTURED SKULL, UTERIC RUPTURE ; INTERABDOMINAL FETUS; ENLARGED MAMMARIES",
200101033,Gray Whale,1/9/2001,2001,NO DATA,NO DATA,PROBABLE DEAD,No,CA,12-San Luis Obispo,NO DATA,3 MILES OFFSHORE MONTANA DE ORO STATE PARK,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Cable Layer,UNKNOWN,CALF,365.76,cm,NO DATA,NO DATA,NO DATA,"CABLE LAYING VESSEL COLLIDED WITH WHALE; ANIMAL FIRST SIGHTED THRASHING AT SURFACE AT 1005; MAJOR INJURY TO CAUDAL PEDUNCLE, FLUKES COMPLETELY SEVERED; ANIMAL BLEEDING; LAST SIGHTING OCCURRED AT 1050; FINAL STATUS OF ANIMAL UNKNOWN",
200107156,Unidentified Whale,7/28/2001,2001,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA,10 MILES OFFSHORE,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,ANIMAL'S SPOUT OBSERVED 30 YARDS OFF BOW PRIOR TO COLLISION WITH NAVY VESSEL; WHALE SURFACED 200 YARDS OFF PORT SIDE AND SWAM AWAY; NO BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN,
200108079,Unidentified Whale,8/15/2001,2001,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA,OFFSHORE SAN CLEMENTE ISLAND,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,"FREE-SWIMMING WHALE OBSERVED ON STARBOARD SIDE PRIOR TO COLLISION WITH NAVY VESSEL; FOLLOWING COLLISION, WHALE ROLLED OVER, EXPOSING A WHITE UNDERBELLY, & THEN DISAPPEARED UNDER THE VESSEL; BLOOD OBSERVED IN WATER; FINAL STAUS UNKNOWN",
200108111,Unidentified Whale,8/20/2001,2001,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA,25 MILES OFFSHORE SAN CLEMENTE ISLAND,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,NAVY VESSEL CONDUCTING HELICOPTOR FLIGHT OPERATIONS COLLIDED WITH FREE-SWIMMING WHALE; BLOOD OBSERVED IN  WATER; FINAL STATUS UNKNOWN,
200108159,Fin Whale,8/21/2001,2001,NO DATA,NO DATA,DEAD,No,CA,15-Los Angeles,NO DATA,LOS ANGELES HARBOR,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,SUBADULT,1440,cm,NO DATA,NO DATA,NO DATA,CARCASS FLOATING IN HARBOR; LARGE PROPELLER-LIKE GASH IN GULAR REGION,
200110034,Unidentified Whale,10/10/2001,2001,NO DATA,NO DATA,DEAD,No,CA,14-Ventura,NO DATA,4.5 MILES SOUTH OF SAN NICOLAS ISLAND,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,UNKNOWN,UNKNOWN,1524,cm,NO DATA,NO DATA,NO DATA,ANIMAL INITIALLY SIGHTED WITH TWO OTHER WHALES PRIOR TO COLLISION WITH FREIGHTER; ANIMAL STRUCK AT MID-BODY & WRAPPED AROUND BOW,
200204125,Unidentified Whale,4/11/2002,2002,NO DATA,NO DATA,PROBABLE DEAD,No,CA,14-Ventura,NO DATA,APPROXIMATELY 20 MILES SOUTHEAST OF SAN NICOLAS ISLAND,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,1828.8,cm,NO DATA,NO DATA,NO DATA,ANIMAL SURFACED APPROXIMATELY 100 FEET IN FRONT OF BOW PRIOR TO COLLISION WITH  NAVY VESSEL; ANIMAL WRAPPED AROUND BOW; ANIMAL DISLODGED FROM BOW & SANK OUT OF SIGHT; NO BLOOD OBSERVED IN WATER; FINAL STATUS UNKNOWN,
BLANK,Unidentified Whale,7/13/2002,2002,NO DATA,NO DATA,SERIOUS INJURY,No,CA,17-San Diego,NO DATA,APPROACHING SAN DIEGO HARBOR,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,ARMY-NAVY JOINT VENTURE VESSEL: VESSEL DAMAGED HITTING SUBMERGED OBJECT ALTHOUGH NO WHALE SIGHTING OR BLOOD IN WATER REPORTED,
200207189,Blue Whale,7/22/2002,2002,NO DATA,NO DATA,DEAD,No,CA,04-Marin,NO DATA,TENNESSEE VALLEY BEACH; GOLDEN GATE NATIONAL RECREATION AREA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,ADULT,2346.96,cm,NO DATA,NO DATA,NO DATA,"DEAD STRANDING; CARCASS FIRST SIGHTED FLOATING OFFSHORE ON 7/16, 12 MILES OUT FROM GOLDEN GATE BRIDGE; 4 LARGE PROPELLER-LIKE WOUNDS PARALLEL & 6 FEET APART; TWO FRACTURED VERTEBRAE IN THE TWO CAUDAL WOUNDS; INTESTINES PROTRUDING FROM ALL FOUR  WOUNDS",
CRC482,Fin Whale,8/9/2002,2002,,Fresh Dead,NO DATA,No,WA,King,Seattle,"Port of Seattle, Terminal 30",,,,,8/11/2002,Fresh Dead,Shipping,UNKNOWN,ADULT,1737,cm,Y,8/11/2002,Towed,"came in on bow of container ship ""Tokyo Express""",
02-9-03-PSU-Bp,Fin Whale,9/2/2002,2002,Floating,Fresh Dead,NO DATA,No,OR,Clatsop,Portland,arrived on bow of ship into Portland,45.616939,decimal degrees,-122.70412,decimal degrees,9/10/2002,Moderate Decomposition,Shipping,FEMALE,SUBADULT,1075,cm,Y,9/10/2002,Buried,came in wrapped around bulbous bow of ship,
CRC-483,Sperm Whale,9/9/2002,2002,Beach or Land,Moderate Decomposition,NO DATA,No,WA,Grays Harbor,Westport,.25 mile N of Twin Harbors Approach at Schaeffer Rd.,46.858,decimal degrees,-124.115,decimal degrees,9/9/2002,Moderate Decomposition,Unknown,MALE,ADULT,1530,cm,Y,9/9/2002,Left at Site,"Originally called in by Park Ranger at Twin Harbors State Park; species id confirmed by Todd Chandler of Cascadia Research. Animal flattened from ribcage aft. Left lower jaw missing. Body twisted in half rotation (head and penis on same side); deflated, skin 90% gone. Prop marks on dorsal R, forward and head (superficial)",
CRC484,Fin Whale,10/2/2002,2002,Floating,Fresh Dead,NO DATA,No,WA,Whatcom,Ferndale,Cherry Point Refinery,,,,,10/5/2002,Fresh Dead,Shipping,FEMALE,ADULT,1835,cm,Y,10/5/2002,Towed,Extensive tissue trauma at site of impact with ship (ventral side of mandibular ramus) and cranial thorax; came in on bow of tanker ship,
200210007,Unidentified Whale,10/4/2002,2002,NO DATA,NO DATA,DEAD,No,CA,15-Los Angeles,NO DATA,1 MILE SOUTH OF ANGEL'S GATE; PORT OF LOS ANGELES,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,UNKNOWN,ADULT,2133.6,cm,NO DATA,NO DATA,NO DATA,FLOATING CARCASS; LEFT FLIPPER BROKEN & PARTIALLY TORN OFF AT BASE; SERIES OF DEEP SYMMETRICAL PROPELLER-LIKE CUTS ON LEFT SIDE OF MOUTH,
